D,D,D,D,D,D,W,W,R,R,R,R,R,R,R,R,R,R,R,R,W,W,W,W,P,P,W,W,O,O,O
D,D,D,D,D,D,W,W,R,R,R,R,R,R,R,R,R,R,R,R,W,W,W,W,P,P,W,W,O,O,O
D,D,D#,D,D,D,W,W,R,R,R,R,R,R#,R,R,R,R,R,R,W,W,W,W,P,P,W,W>,O,O#,O
D,D,D*,D,D,D,W,W,R,R,R,R,R,R*,R,R,R,R,R,R,W,W,W,W,P,P,W,W,O,O*,O
D,D,D,D,D,D,W<,W,R,R,R,R,R,R,R,R,R,R,R,R,W,W,W,W,P#,P,W,W,O,O,O
D,D,D,D,D,D,W,W,R,R,R,R,R,R,R,R,R,R,R,R,W,W,W,W,P*,P,W,W,O,O,O
D,D,D,D,D,D,W,W,W,W,W,W,W,W,W,W^,W,W,W,W,W,W,W,W,P,P,W,W,O,O,O
D,D,D,D,D,D,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,P,P,W<,W,O,O,OF
DG,D,D,D,D,D,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,P,P,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,P,P,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,W,W,W,W,W,P,P,W,W,W,W,W
W,W,W,W,W,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,W,W,W,W,W,W,W,W,W,W,W,Z
W,W,W,W,W,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,W,W,W,W,W,W,W,W,W,W,W,Z
W,W,W,W,W,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,A,A,A,A,A,W,W,W,W,W,W,Z
W,W,W,W,W,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,A,A,A#,A,A,W,W,W,W,W,W,Z
W,W,W,W,W,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,A,A,A*,A,A,W,W,W,W,W,W,Z
W,W,W,W,W,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,A,A,A,A,A,W,W,W,W,W,W,Z
C,C,C,C,C,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,W,W,W,W,W,W,W,W,W,W,W,Z
C,C,C,C,C,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,W,W,W,W,Wv,W,W,W,W,W,W,Z
C,C#,C,C,C,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,H,H,H,H,H,H,H,W,W,W,W,W
C,C*,C,C,C,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,H,H,H,H,H,H,H,W,W,W,W,W
C,C,C,C,C,W<,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,H,H,H,H,H,H,H,W,W,Wv,W,W
C,C,C,C,C,W,W,W,W,W,Z,Z,Z,Z,Z,Z,W,W,W,H,H,H,H#,H,H,H,W,G,G,G,G
C,C,C,C,C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H*,H,H,H,W<,G,G,G,G
C,C,C,C,C,W,W,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,W,G,G,G,G
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W>,H,H,H,H,H,H,H,W,G,G#,G,G
W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,W,G,G*,G,G
W,W,W,W,W,W,W,W,W,Wv,W,W,W,W,W,W,W,W,W,H,H,H,H,H,H,H,W,G,G,G,G
W,W,W,W,W,W,W,W,FO,F,F,F,F,F,F,F,W,W,W,H,H,H,H,H,H,H,W,G,G,G,G
W,W,W,W,W,W,W,W,F,F,F,F#,F,F,F,F,W,W,W,H,H,H,H,H,H,H,W,G,G,G,G
W,W,W,W,W,W,W,W,F,F,F,F*,F,F,F,F,W,W,W,H,H,H,H,H,H,H,W,GD,G,G,G
